time,{tank1}.tank1.WaterTank1.inFlow,{tank1}.tank1.Tank1WaterLevel,{tank1}.tank1.Tank2WaterLevel,{tank1}.tank1.Tank2OutFlow,{tank1}.tank1.WaterTank2.I1.state,{tank2}.tank2.puddle,{tank2}.tank2.Tank3OutFlow,{tank2}.tank2.level,{controller}.controller.wt3_valve
29.5,0,2.838331694,2.783373055,0.456871033,45.6871033,5.991706929,0,1.836423578,FALSE
29.55,1,2.82797822,2.778795628,0.456285467,45.62854674,5.991706929,0,1.854695739,FALSE
29.6,1,2.862091112,2.777340897,0.45548319,45.54831903,5.991706929,0,1.882074819,FALSE
29.65,1,2.878509644,2.782694644,0.456110504,45.61105043,5.991706929,0,1.900296821,FALSE
29.7,0,2.849561727,2.787563926,0.457480152,45.74801522,5.991706929,0,1.92766136,FALSE
29.75,0,2.834309912,2.78451883,0.457288123,45.72881229,5.991706929,0,1.945956001,FALSE
29.8,1,2.855506249,2.779256461,0.456148376,45.61483758,5.991706929,0,1.973393928,FALSE
29.85,1,2.873831397,2.782687066,0.456307592,45.63075925,5.991706929,0,1.991643663,FALSE
29.9,0,2.861930995,2.790501337,0.457820073,45.78200733,5.991706929,0,2.019021587,FALSE
29.95,0,2.844581919,2.789530106,0.458104897,45.81048974,5.991706929,0,2.037329349,FALSE
30,1,2.847384819,2.782602014,0.457065013,45.70650126,5.991706929,0,2.064814693,TRUE
30.05,1,2.868279488,2.783437022,0.456704845,45.67048451,6.035722603,2.77364326,1.979154212,TRUE
30.1,0,2.875852186,2.791769607,0.457908704,45.79087045,6.103159946,2.586789404,1.845823224,TRUE
30.15,0,2.855688866,2.793599728,0.458689718,45.86897182,6.14520991,2.470728383,1.763007001,TRUE
30.2,1,2.837215664,2.787895367,0.458109042,45.81090423,6.204310028,2.308459043,1.647218481,TRUE
30.25,1,2.861572758,2.785232536,0.457345973,45.73459727,6.241263348,2.207589975,1.575242592,TRUE
30.3,1,2.887655679,2.791704338,0.457916034,45.79160342,6.293336973,2.066440364,1.474524215,TRUE
30.35,0,2.867937474,2.796418276,0.459005819,45.90058194,6.325981835,1.978749314,1.4119516,TRUE
30.4,0,2.843365444,2.793439369,0.459075786,45.90757863,6.372104612,1.856181047,1.324492082,TRUE
30.45,1,2.853331861,2.788460403,0.458239025,45.82390254,6.401095597,1.780017694,1.270145143,TRUE
30.5,1,2.882797321,2.791519333,0.458077566,45.80775662,6.442161446,1.673423078,1.194083746,TRUE
30.55,0,2.88174038,2.797570024,0.4590711,45.90710999,6.468039851,1.607169361,1.146807903,TRUE
30.6,0,2.853459121,2.798274975,0.459857357,45.98573566,6.504791141,1.514573784,1.080735625,TRUE
30.65,1,2.843045591,2.793638387,0.459259935,45.92599354,6.52801211,1.457072558,1.039705189,TRUE
30.7,1,2.877068846,2.792095357,0.458439963,45.8439963,6.561076446,1.376603982,0.982286225,TRUE
30.75,1,2.893427917,2.797390529,0.459055539,45.90555387,6.582022357,1.32655399,0.946572674,TRUE
30.8,0,2.86439125,2.802172384,0.460407666,46.04076664,6.611924331,1.256589723,0.89664914,FALSE
30.85,0,2.849080563,2.799069293,0.460204015,46.0204015,6.613537321,0,0.910872307,FALSE
30.9,1,2.870189028,2.793720363,0.459046921,45.90469211,6.613537321,0,0.938485226,FALSE
30.95,1,2.888455887,2.797093546,0.459194631,45.91946306,6.613537321,0,0.95685096,FALSE
31,0,2.876468483,2.804822113,0.460689936,46.06899363,6.613537321,0,0.984402146,FALSE
31.05,0,2.859061693,2.803794029,0.460963367,46.09633672,6.613537321,0,1.002824759,FALSE
31.1,1,2.861778452,2.79678108,0.459906477,45.99064772,6.613537321,0,1.030481649,FALSE
31.15,1,2.882615979,2.797559797,0.459535029,45.95350291,6.613537321,0,1.048881431,FALSE
31.2,0,2.890103389,2.805808365,0.460722052,46.07220517,6.613537321,0,1.076454771,FALSE
31.25,0,2.869883492,2.807582752,0.461491896,46.14918965,6.613537321,0,1.094879697,FALSE
31.3,1,2.851325845,2.801795206,0.46089455,46.08945503,6.613537321,0,1.122566644,FALSE
31.35,1,2.875626922,2.799077193,0.460120422,46.01204223,6.613537321,0,1.141004418,FALSE
31.4,1,2.901626234,2.805466633,0.460673978,46.06739784,6.613537321,0,1.168614223,FALSE
31.45,0,2.881852566,2.810125935,0.461752815,46.17528147,6.613537321,0,1.187039337,FALSE
31.5,0,2.857197755,2.807065481,0.46180644,46.18064396,6.613537321,0,1.21474091,FALSE
31.55,1,2.867109258,2.802032418,0.460958838,46.09588381,6.613537321,0,1.233212989,FALSE
31.6,1,2.896492756,2.805010609,0.460781199,46.07811987,6.613537321,0,1.260873344,FALSE
31.65,0,2.895381444,2.811007739,0.461763999,46.1763999,6.613537321,0,1.279305185,FALSE
31.7,0,2.867019034,2.811632748,0.462534235,46.25342355,6.613537321,0,1.307007748,FALSE
