time,Tank2OutFlow,Tank2.puddle,Tank3OutFlow,Tank2.level,wt3_valve
455.3,0.499269165,33.46818662,0,1.361083866,0
455.35,0.500299959,33.46818662,0,1.381054425,0
455.4,0.500995244,33.46818662,0,1.411068987,0
455.45,0.500284705,33.46818662,0,1.431106479,0
455.5,0.4989707,33.46818662,0,1.46112593,0
455.55,0.499269165,33.46818662,0,1.481089138,0
455.6,0.500792955,33.46818662,0,1.511044293,0
455.65,0.500995244,33.46818662,0,1.531070931,0
455.7,0.499700041,33.46818662,0,1.561129972,0
455.75,0.4989707,33.46818662,0,1.581122291,0
455.8,0.499715295,33.46818662,0,1.611062964,0
455.85,0.500792955,33.46818662,0,1.631049094,0
455.9,0.500730835,33.46818662,0,1.661093079,0
455.95,0.499700041,33.46818662,0,1.681122519,0
456,0.499004756,33.46818662,0,1.711107958,0
456.05,0.499715295,33.46818662,0,1.731070466,0
456.1,0.5010293,33.46818662,0,1.761051015,0
456.15,0.500730835,33.46818662,0,1.781087807,0
456.2,0.499207045,33.46818662,0,1.811132652,0
456.25,0.499004756,33.46818662,0,1.831106013,0
456.3,0.500299959,33.46818662,0,1.861046973,0
456.35,0.5010293,33.46818662,0,1.881054654,0
456.4,0.500284705,33.46818662,0,1.911113981,0
456.45,0.499207045,33.46818662,0,1.931127851,0
456.5,0.499269165,33.46818662,0,1.961083866,0
456.55,0.500299959,33.46818662,0,1.981054425,0
456.6,0.500995244,33.46818662,0,2.011068987,0
456.65,0.500284705,33.46818662,0,2.031106479,0
456.7,0.4989707,33.46818662,0,2.06112593,1
456.75,0.499269165,33.47608407,2.771018401,1.977281224,1
456.8,0.500792955,33.48830513,2.587806112,1.846548704,1
456.85,0.500995244,33.49600074,2.474026083,1.7653601,1
456.9,0.499700041,33.50691599,2.314905114,1.651818124,1
456.95,0.4989707,33.51380067,2.215955124,1.581211607,1
457,0.499715295,33.52358169,2.077487671,1.482407105,1
457.05,0.500792955,33.52976153,1.99147229,1.421030177,1
457.1,0.500730835,33.53855736,1.871248028,1.335243241,1
457.15,0.499700041,33.54412551,1.796534704,1.281930982,1
457.2,0.499004756,33.55206603,1.691952595,1.207305623,1
457.25,0.499715295,33.55710254,1.626922242,1.160902721,1
457.3,0.5010293,33.56429944,1.536012713,1.096033537,1
457.35,0.500730835,33.5688741,1.4795849,1.055769041,1
457.4,0.499207045,33.57542563,1.400644001,0.999440164,1
457.45,0.499004756,33.57959935,1.351508992,0.964379505,1
457.5,0.500299959,33.58558964,1.282757484,0.915321344,0
457.55,0.5010293,33.58591384,0,0.931053167,0
457.6,0.500284705,33.58591384,0,0.961112494,0
457.65,0.499207045,33.58591384,0,0.981126364,0
457.7,0.499269165,33.58591384,0,1.011082379,0
457.75,0.500299959,33.58591384,0,1.031052938,0
457.8,0.500995244,33.58591384,0,1.0610675,0
457.85,0.500284705,33.58591384,0,1.081104992,0
457.9,0.4989707,33.58591384,0,1.111124443,0
457.95,0.499269165,33.58591384,0,1.131087651,0
458,0.500792955,33.58591384,0,1.161042806,0
458.05,0.500995244,33.58591384,0,1.181069445,0
458.1,0.499700041,33.58591384,0,1.211128485,0
458.15,0.4989707,33.58591384,0,1.231120804,0
458.2,0.499715295,33.58591384,0,1.261061477,0
458.25,0.500792955,33.58591384,0,1.281047607,0
458.3,0.500730835,33.58591384,0,1.311091592,0
458.35,0.499700041,33.58591384,0,1.331121033,0
458.4,0.499004756,33.58591384,0,1.361106471,0
458.45,0.499715295,33.58591384,0,1.381068979,0
458.5,0.5010293,33.58591384,0,1.411049528,0
458.55,0.500730835,33.58591384,0,1.43108632,0
458.6,0.499207045,33.58591384,0,1.461131165,0
458.65,0.499004756,33.58591384,0,1.481104526,0
458.7,0.500299959,33.58591384,0,1.511045486,0
