time,Tank2OutFlow,Tank2.puddle,Tank3OutFlow,Tank2.level,wt3_valve
172.8,0.500691008,19.98040222,2.314794472,1.651739174,1
172.85,0.499723424,19.99752872,2.168489677,1.547342278,1
172.9,0.499304997,20.00833736,2.077521337,1.482431127,1
172.95,0.500272604,20.02370317,1.950243855,1.391611314,1
173,0.500691047,20.03341862,1.871194554,1.335205084,1
173.05,0.499723464,20.04725747,1.760665009,1.256335888,1
173.1,0.499305036,20.05602516,1.691929189,1.207288922,1
173.15,0.500272643,20.06853906,1.595748772,1.138658655,1
173.2,0.500691086,20.07648382,1.536024734,1.096042114,1
173.25,0.499723502,20.08784808,1.452525816,1.036460827,1
173.3,0.499305074,20.09507918,1.400588173,0.999400328,1
173.35,0.500272681,20.1054454,1.327903698,0.947535768,1
173.4,0.500691124,20.11205642,1.282781208,0.915338273,0
173.45,0.49972354,20.11259781,0,0.941102408,0
173.5,0.499305112,20.11259781,0,0.961094575,0
173.55,0.500272718,20.11259781,0,0.991054276,0
173.6,0.500691161,20.11259781,0,1.01106196,0
173.65,0.499723577,20.11259781,0,1.041102035,0
173.7,0.499305149,20.11259781,0,1.061094203,0
173.75,0.500272755,20.11259781,0,1.091053907,0
173.8,0.500691198,20.11259781,0,1.111061591,0
173.85,0.499723613,20.11259781,0,1.141101669,0
173.9,0.499305185,20.11259781,0,1.161093838,0
173.95,0.500272791,20.11259781,0,1.191053544,0
174,0.500691234,20.11259781,0,1.211061231,0
174.05,0.499723649,20.11259781,0,1.24110131,0
174.1,0.49930522,20.11259781,0,1.261093481,0
174.15,0.500272826,20.11259781,0,1.291053189,0
174.2,0.500691269,20.11259781,0,1.311060877,0
174.25,0.499723684,20.11259781,0,1.341100958,0
174.3,0.499305255,20.11259781,0,1.361093131,0
174.35,0.500272861,20.11259781,0,1.391052841,0
174.4,0.500691303,20.11259781,0,1.41106053,0
174.45,0.499723718,20.11259781,0,1.441100613,0
174.5,0.499305289,20.11259781,0,1.461092787,0
174.55,0.500272895,20.11259781,0,1.491052499,0
174.6,0.500691337,20.11259781,0,1.51106019,0
174.65,0.499723752,20.11259781,0,1.541100275,0
174.7,0.499305322,20.11259781,0,1.56109245,0
174.75,0.500272928,20.11259781,0,1.591052165,0
174.8,0.50069137,20.11259781,0,1.611059856,0
174.85,0.499723784,20.11259781,0,1.641099944,0
174.9,0.499305355,20.11259781,0,1.66109212,0
174.95,0.50027296,20.11259781,0,1.691051836,0
175,0.500691402,20.11259781,0,1.711059529,0
175.05,0.499723817,20.11259781,0,1.741099619,0
175.1,0.499305387,20.11259781,0,1.761091797,0
175.15,0.500272992,20.11259781,0,1.791051515,0
175.2,0.500691434,20.11259781,0,1.811059209,0
175.25,0.499723848,20.11259781,0,1.8410993,0
175.3,0.499305419,20.11259781,0,1.86109148,0
175.35,0.500273023,20.11259781,0,1.891051199,0
175.4,0.500691465,20.11259781,0,1.911058895,0
175.45,0.499723879,20.11259781,0,1.941098988,0
175.5,0.49930545,20.11259781,0,1.961091169,0
175.55,0.500273054,20.11259781,0,1.99105089,0
175.6,0.500691496,20.11259781,0,2.011058587,0
175.65,0.49972391,20.11259781,0,2.041098682,0
175.7,0.49930548,20.11259781,0,2.061090864,1
175.75,0.500273084,20.13266772,2.708198094,1.932455317,1
175.8,0.500691526,20.14605777,2.587829024,1.846565053,1
175.85,0.499723939,20.16502782,2.419504704,1.726455956,1
175.9,0.499305509,20.1769791,2.314852335,1.651780463,1
175.95,0.500273114,20.1939389,2.168434731,1.54730307,1
176,0.500691555,20.20464223,2.077490805,1.482409341,1
176.05,0.499723968,20.21985905,1.950324014,1.391668512,1
176.1,0.499305538,20.22948065,1.871248981,1.335243921,1
176.15,0.500273142,20.24318546,1.760606903,1.256294426,1
176.2,0.500691584,20.25186808,1.691895669,1.207265003,1
176.25,0.499723997,20.26426119,1.595826183,1.138713892,1
176.3,0.499305567,20.27212959,1.536076563,1.096079097,1
176.35,0.500273171,20.28338421,1.452465321,1.03641766,1
176.4,0.500691612,20.29054536,1.400552394,0.999374797,1
176.45,0.499724025,20.30081191,1.327979031,0.947589522,1
176.5,0.499305595,20.30735967,1.282831071,0.915373853,0
176.55,0.500273198,20.30789587,0,0.94105748,0
176.6,0.50069164,20.30789587,0,0.961065183,0
176.65,0.499724053,20.30789587,0,0.991105286,0
176.7,0.499305622,20.30789587,0,1.011097473,0
176.75,0.500273226,20.30789587,0,1.041057206,0
176.8,0.500691667,20.30789587,0,1.061064909,0
176.85,0.499724079,20.30789587,0,1.091105014,0
176.9,0.499305649,20.30789587,0,1.111097203,0
176.95,0.500273252,20.30789587,0,1.141056937,0
177,0.500691693,20.30789587,0,1.161064641,0
177.05,0.499724106,20.30789587,0,1.191104748,0
177.1,0.499305675,20.30789587,0,1.211096938,0
177.15,0.500273278,20.30789587,0,1.241056673,0
177.2,0.500691719,20.30789587,0,1.261064379,0
177.25,0.499724132,20.30789587,0,1.291104487,0
177.3,0.499305701,20.30789587,0,1.311096678,0
